Month,Year,Rainfall,WPI
4,2012,47.5,301.2
5,2012,31.7,293.6
6,2012,117.8,279.7
7,2012,250.2,279.1
8,2012,262.4,283.8
9,2012,193.5,270.5
10,2012,58.7,261.2
11,2012,30.7,261.3
12,2012,11.7,274.2
1,2013,11.3,274.4
2,2013,40.1,277.3
3,2013,15.7,270.6
4,2013,30.4,268
5,2013,57.8,264.4
6,2013,219.8,265.5
7,2013,310,278.9
8,2013,254.7,282.3
9,2013,152.7,289.4
10,2013,129.4,295.4
11,2013,14,297.3
12,2013,6.7,301.4
1,2014,19.2,305.5
2,2014,27.4,310.6
3,2014,36.1,317.5
4,2014,22.2,326.3
5,2014,72.9,339.1
6,2014,95.4,351.3
7,2014,261.2,345.3
8,2014,237.5,348.5
9,2014,188,385.6
10,2014,60.2,385.1
11,2014,14.4,386.2
12,2014,10.7,400.9
1,2015,17.4,419.3
2,2015,21,437.3
3,2015,62,427.1
4,2015,69.4,418
5,2015,53.8,416.9
6,2015,192.8,433.8
7,2015,242.4,435.9
8,2015,205.2,431.1
9,2015,131.8,432.6
10,2015,42.9,426.9
11,2015,39.4,425.2
12,2015,15,425.7
1,2016,19.3,418.4
2,2016,22.8,413.9
3,2016,27.6,400.1
4,2016,37.4,389
5,2016,62.6,400.3
6,2016,168.3,398.3
7,2016,289.1,380.5
8,2016,256.3,373.3
9,2016,171.9,367.4
10,2016,76.1,349.1
11,2016,29.7,354.5
12,2016,14.9,354.7
1,2017,19,362.5
2,2017,22.6,367
3,2017,27.8,351.8
4,2017,37.9,143.8
5,2017,62.4,134.4
6,2017,168.1,128.4
7,2017,289.3,130.8
8,2017,256.2,136.6
9,2017,171.5,141.5
10,2017,76.3,125.6
11,2017,29.9,114.8
12,2017,15,114.9
1,2018,19.2,125.9
2,2018,20.1,128.9
3,2018,27.1,126.9
4,2018,40.2,125.7
5,2018,62.7,122.1
6,2018,165,120.8
7,2018,286.3,123.4
8,2018,254.3,126.5
9,2018,171.9,134.7
10,2018,77.2,130.6
11,2018,28.1,131.7
12,2018,14.1,132.2
