,State,District,Season,Crop,Year,Area,Rainfall,Production,Humidity,Min Temperature,Max Temperature,Temperature
0,assam,barpeta,whole year,black pepper,2007,52.0,233.8577039,73.0,79,7,36,24
1,assam,barpeta,whole year,black pepper,2008,30.0,251.393392,42.0,80,8,36,24
2,assam,barpeta,whole year,black pepper,2009,39.0,254.035366,55.0,78,11,37,25
3,assam,barpeta,whole year,black pepper,2010,58.0,209.8176972,81.0,82,9,36,24
4,assam,barpeta,rabi,black pepper,2011,46.0,87.0585,64.0,83,8,36,24
5,assam,barpeta,rabi,black pepper,2012,46.0,61.968,70.0,82,8,37,24
6,assam,barpeta,rabi,black pepper,2013,47.0,19.669,72.0,81,7,38,24
7,assam,cachar,whole year,black pepper,2007,39.0,66.5045,76.0,79,7,36,24
8,assam,cachar,whole year,black pepper,2008,45.0,265.4000079,87.0,80,8,36,24
9,assam,cachar,whole year,black pepper,2009,26.0,265.96725069999997,50.0,78,11,37,25
10,assam,cachar,whole year,black pepper,2010,38.0,286.8170209,74.0,82,9,36,24
11,assam,cachar,rabi,black pepper,2011,43.0,249.4377517,102.0,83,8,36,24
12,assam,cachar,rabi,black pepper,2012,44.0,56.47225,88.0,82,8,37,24
13,assam,cachar,rabi,black pepper,2013,45.0,69.8035,90.0,81,7,38,24
14,assam,darrang,whole year,black pepper,2007,34.0,41.887,52.0,79,7,36,24
15,assam,darrang,whole year,black pepper,2008,45.0,72.41625,69.0,80,8,36,24
16,assam,darrang,whole year,black pepper,2009,45.0,236.52632319999998,69.0,78,11,37,25
17,assam,darrang,whole year,black pepper,2010,38.0,292.4193603,59.0,82,9,36,24
18,assam,darrang,rabi,black pepper,2011,33.0,262.78078,51.0,83,8,36,24
19,assam,darrang,rabi,black pepper,2012,34.0,210.81748169999997,57.0,82,8,37,24
20,assam,darrang,rabi,black pepper,2013,38.0,70.572,63.0,81,7,38,24
21,assam,dhemaji,whole year,black pepper,2007,68.0,62.3175,87.0,79,7,36,24
22,assam,dhemaji,whole year,black pepper,2008,28.0,22.06825,36.0,80,8,36,24
23,assam,dhemaji,whole year,black pepper,2009,28.0,74.77600000000001,36.0,78,11,37,25
24,assam,dhemaji,whole year,black pepper,2010,32.0,182.39096809999998,41.0,82,9,36,24
25,assam,dhemaji,rabi,black pepper,2011,29.0,214.12591400000002,36.0,83,8,36,24
26,assam,dhemaji,rabi,black pepper,2012,25.0,185.7844095,35.0,82,8,37,24
27,assam,dhemaji,rabi,black pepper,2013,25.0,162.7078675,35.0,81,7,38,24
28,assam,dhubri,whole year,black pepper,2007,3.0,39.12775,6.0,79,7,36,24
29,assam,dhubri,whole year,black pepper,2009,3.0,43.87725,4.0,78,11,37,25
30,assam,dhubri,whole year,black pepper,2010,2.0,25.506,4.0,82,9,36,24
31,assam,dhubri,rabi,black pepper,2011,2.0,52.39925,4.0,83,8,36,24
32,assam,dhubri,rabi,black pepper,2012,2.0,189.8665956,4.0,82,8,37,24
33,assam,dhubri,rabi,black pepper,2013,2.0,186.2915944,4.0,81,7,38,24
34,assam,dibrugarh,whole year,black pepper,2007,61.0,173.5413829,103.0,79,7,36,24
35,assam,dibrugarh,whole year,black pepper,2008,44.0,79.61425,87.0,80,8,36,24
36,assam,dibrugarh,whole year,black pepper,2009,47.0,46.31100000000001,87.0,78,11,37,25
37,assam,dibrugarh,whole year,black pepper,2010,64.0,15.39825,117.0,82,9,36,24
38,assam,dibrugarh,rabi,black pepper,2011,65.0,41.07,119.0,83,8,36,24
39,assam,dibrugarh,rabi,black pepper,2012,81.0,186.9918885,150.0,82,8,37,24
40,assam,dibrugarh,rabi,black pepper,2013,103.0,211.97224069999996,191.0,81,7,38,24
41,assam,golaghat,whole year,black pepper,2007,200.0,186.8436034,227.0,79,7,36,24
42,assam,golaghat,whole year,black pepper,2008,218.0,163.2428003,248.0,80,8,36,24
43,assam,golaghat,whole year,black pepper,2009,330.0,38.15725,363.0,78,11,37,25
44,assam,golaghat,whole year,black pepper,2010,359.0,47.0305,414.0,82,9,36,24
45,assam,golaghat,rabi,black pepper,2011,370.0,28.18775,495.0,83,8,36,24
46,assam,golaghat,rabi,black pepper,2012,366.0,54.261,528.0,82,8,37,24
47,assam,golaghat,rabi,black pepper,2013,295.0,188.4637591,426.0,81,7,38,24
48,assam,hailakandi,whole year,black pepper,2007,58.0,189.82222990000002,112.0,79,7,36,24
49,assam,hailakandi,whole year,black pepper,2008,20.0,196.6146858,39.0,80,8,36,24
50,assam,hailakandi,whole year,black pepper,2009,39.0,162.83305719999998,75.0,78,11,37,25
51,assam,hailakandi,whole year,black pepper,2010,100.0,42.2415,193.0,82,9,36,24
52,assam,hailakandi,rabi,black pepper,2011,22.0,49.68775,43.0,83,8,36,24
53,assam,hailakandi,rabi,black pepper,2012,33.0,27.1905,65.0,82,8,37,24
54,assam,hailakandi,rabi,black pepper,2013,34.0,54.31399999999999,67.0,81,7,38,24
55,assam,jorhat,whole year,black pepper,2007,419.0,251.9312463,522.0,79,7,36,24
56,assam,jorhat,whole year,black pepper,2008,647.0,256.3575205,807.0,80,8,36,24
57,assam,jorhat,whole year,black pepper,2009,107.0,272.4138767,133.0,78,11,37,25
58,assam,jorhat,whole year,black pepper,2010,119.0,241.58265640000002,148.0,82,9,36,24
59,assam,jorhat,rabi,black pepper,2011,95.0,54.49775,117.0,83,8,36,24
60,assam,jorhat,rabi,black pepper,2012,122.0,66.46125,178.0,82,8,37,24
61,assam,jorhat,rabi,black pepper,2013,103.0,41.9085,151.0,81,7,38,24
62,assam,kamrup,whole year,black pepper,2007,76.0,70.49475,115.0,79,7,36,24
63,assam,kamrup,whole year,black pepper,2008,83.0,181.03969519999998,126.0,80,8,36,24
64,assam,kamrup,whole year,black pepper,2009,97.0,188.5764746,147.0,78,11,37,25
65,assam,kamrup,whole year,black pepper,2010,92.0,185.9723729,139.0,82,9,36,24
66,assam,kamrup,rabi,black pepper,2011,102.0,157.0912811,155.0,83,8,36,24
67,assam,kamrup,rabi,black pepper,2012,130.0,37.72375,211.0,82,8,37,24
68,assam,kamrup,rabi,black pepper,2013,119.0,46.5365,193.0,81,7,38,24
69,assam,karbi anglong,whole year,black pepper,2007,299.0,27.30975,482.0,79,7,36,24
70,assam,karbi anglong,whole year,black pepper,2008,303.0,51.5615,489.0,80,8,36,24
71,assam,karbi anglong,whole year,black pepper,2009,316.0,290.47760639999996,510.0,78,11,37,25
72,assam,karbi anglong,whole year,black pepper,2010,302.0,314.2995505,486.0,82,9,36,24
73,assam,karbi anglong,rabi,black pepper,2011,320.0,322.1822125,199.0,83,8,36,24
74,assam,karbi anglong,rabi,black pepper,2012,243.0,256.71010099999995,362.0,82,8,37,24
75,assam,karbi anglong,rabi,black pepper,2013,264.0,86.9895,393.0,81,7,38,24
76,assam,karimganj,whole year,black pepper,2007,75.0,79.00425,86.0,79,7,36,24
77,assam,karimganj,whole year,black pepper,2008,222.0,30.12725,408.0,80,8,36,24
78,assam,karimganj,whole year,black pepper,2009,230.0,84.949,343.0,78,11,37,25
79,assam,karimganj,whole year,black pepper,2010,253.0,268.38657969999997,402.0,82,9,36,24
80,assam,karimganj,rabi,black pepper,2011,275.0,248.6842983,439.0,83,8,36,24
81,assam,karimganj,rabi,black pepper,2012,279.0,287.5597749,465.0,82,8,37,24
82,assam,karimganj,rabi,black pepper,2013,279.0,232.64014790000002,465.0,81,7,38,24
83,assam,kokrajhar,whole year,black pepper,2007,15.0,52.4145,24.0,79,7,36,24
84,assam,kokrajhar,whole year,black pepper,2008,34.0,66.64575,56.0,80,8,36,24
85,assam,kokrajhar,whole year,black pepper,2009,335.0,35.7785,545.0,78,11,37,25
86,assam,kokrajhar,whole year,black pepper,2010,250.0,69.02725,407.0,82,9,36,24
87,assam,kokrajhar,rabi,black pepper,2011,344.0,226.48661659999996,395.0,83,8,36,24
88,assam,kokrajhar,rabi,black pepper,2012,345.0,223.823718,435.0,82,8,37,24
89,assam,kokrajhar,rabi,black pepper,2013,348.0,250.0753098,439.0,81,7,38,24
90,assam,lakhimpur,whole year,black pepper,2007,64.0,211.6215258,97.0,79,7,36,24
91,assam,lakhimpur,whole year,black pepper,2008,70.0,48.42,107.0,80,8,36,24
92,assam,lakhimpur,whole year,black pepper,2009,73.0,60.10875,110.0,78,11,37,25
93,assam,lakhimpur,whole year,black pepper,2010,178.0,37.68275,271.0,82,9,36,24
94,assam,lakhimpur,rabi,black pepper,2011,554.0,62.67575,865.0,83,8,36,24
95,assam,lakhimpur,rabi,black pepper,2012,537.0,211.2594383,899.0,82,8,37,24
96,assam,lakhimpur,rabi,black pepper,2013,534.0,207.1288699,1428.0,81,7,38,24
97,assam,nagaon,whole year,black pepper,2007,141.0,212.6544058,201.0,79,7,36,24
98,assam,nagaon,whole year,black pepper,2008,268.0,193.0732838,383.0,80,8,36,24
99,assam,nagaon,whole year,black pepper,2009,249.0,77.59425,356.0,78,11,37,25
100,assam,nagaon,whole year,black pepper,2010,77.0,46.027,111.0,82,9,36,24
101,assam,nagaon,rabi,black pepper,2011,276.0,13.6175,479.0,83,8,36,24
102,assam,nagaon,rabi,black pepper,2012,275.0,50.44925,436.0,82,8,37,24
103,assam,nagaon,rabi,black pepper,2013,280.0,179.5921061,443.0,81,7,38,24
104,assam,nalbari,whole year,black pepper,2007,10.0,215.1157588,19.0,79,7,36,24
105,assam,nalbari,whole year,black pepper,2008,25.0,187.7378966,48.0,80,8,36,24
106,assam,nalbari,whole year,black pepper,2009,10.0,159.746158,19.0,78,11,37,25
107,assam,nalbari,whole year,black pepper,2010,26.0,42.38125,50.0,82,9,36,24
108,assam,nalbari,rabi,black pepper,2011,28.0,46.13275,54.0,83,8,36,24
109,assam,nalbari,rabi,black pepper,2012,28.0,22.863000000000003,55.0,82,8,37,24
110,assam,nalbari,rabi,black pepper,2013,28.0,54.1215,55.0,81,7,38,24
111,assam,sonitpur,whole year,black pepper,2007,369.0,293.3560022,579.0,79,7,36,24
112,assam,sonitpur,whole year,black pepper,2008,376.0,292.0920835,590.0,80,8,36,24
113,assam,sonitpur,whole year,black pepper,2009,255.0,313.70500699999997,400.0,78,11,37,25
114,assam,sonitpur,whole year,black pepper,2010,255.0,253.63600060000002,399.0,82,9,36,24
115,assam,sonitpur,rabi,black pepper,2011,229.0,66.07525,358.0,83,8,36,24
116,assam,sonitpur,rabi,black pepper,2012,99.0,75.6885,166.0,82,8,37,24
117,assam,sonitpur,rabi,black pepper,2013,111.0,35.38575,187.0,81,7,38,24
118,assam,tinsukia,whole year,black pepper,2007,58.0,82.09225,62.0,79,7,36,24
119,assam,tinsukia,whole year,black pepper,2008,268.0,235.51198050000002,287.0,80,8,36,24
120,assam,tinsukia,whole year,black pepper,2009,255.0,282.13099839999995,273.0,78,11,37,25
121,assam,tinsukia,whole year,black pepper,2010,270.0,262.24799989999997,289.0,82,9,36,24
122,assam,tinsukia,rabi,black pepper,2011,285.0,211.3185,310.0,83,8,36,24
123,assam,tinsukia,rabi,black pepper,2012,288.0,82.56425,344.0,82,8,37,24
124,assam,tinsukia,rabi,black pepper,2013,287.0,62.1395,343.0,81,7,38,24
125,karnataka,bagalkot,whole year,black pepper,2013,6.0,20.02175,15.0,67,9,36,24
126,karnataka,bangalore rural,whole year,black pepper,1999,5.0,73.3135,12.0,72,12,36,23
127,karnataka,bangalore rural,whole year,black pepper,2000,8.0,194.6808475,19.0,71,12,36,23
128,karnataka,bangalore rural,whole year,black pepper,2001,5.0,235.32507059999998,12.0,70,13,35,23
129,karnataka,bangalore rural,whole year,black pepper,2002,2.0,210.26350589999998,5.0,67,12,35,24
130,karnataka,bangalore rural,whole year,black pepper,2003,3.0,172.29379219999998,7.0,68,13,37,24
131,karnataka,bangalore rural,whole year,black pepper,2004,26.0,52.309,63.0,69,14,36,23
132,karnataka,bangalore rural,whole year,black pepper,2005,1.0,50.751000000000005,2.0,72,13,36,23
133,karnataka,bangalore rural,whole year,black pepper,2007,1.0,20.8015,3.0,66,12,38,24
134,karnataka,bangalore rural,whole year,black pepper,2008,1.0,59.92675,4.0,69,7,36,23
135,karnataka,bangalore rural,whole year,black pepper,2009,1.0,175.9404604,4.0,68,9,36,23
136,karnataka,bangalore rural,whole year,black pepper,2010,1.0,196.47003840000002,0.6,73,10,36,23
137,karnataka,bangalore rural,whole year,black pepper,2012,1.0,172.61741990000002,3.0,65,8,36,23
138,karnataka,bangalore rural,whole year,black pepper,2013,1.0,155.45111830000002,2.0,67,9,36,24
139,karnataka,belgaum,whole year,black pepper,2012,5.0,36.56725,14.0,65,8,36,23
140,karnataka,belgaum,whole year,black pepper,2013,5.0,45.87275,12.0,67,9,36,24
141,karnataka,bidar,whole year,black pepper,1999,4.0,28.66175,10.0,72,12,36,23
142,karnataka,bidar,whole year,black pepper,2008,1.0,51.27625,4.0,69,7,36,23
143,karnataka,chamarajanagar,whole year,black pepper,2007,2.0,77.32125309,6.0,66,12,38,24
144,karnataka,chamarajanagar,whole year,black pepper,2008,8.0,78.05206674,34.0,69,7,36,23
145,karnataka,chamarajanagar,whole year,black pepper,2009,24.0,66.16017223,89.0,68,9,36,23
146,karnataka,chamarajanagar,whole year,black pepper,2010,23.0,91.36576435,13.9,73,10,36,23
147,karnataka,chamarajanagar,whole year,black pepper,2011,28.0,78.5015637,7.9,69,8,37,23
148,karnataka,chamarajanagar,whole year,black pepper,2012,28.0,63.86279697,79.0,65,8,36,23
149,karnataka,chamarajanagar,whole year,black pepper,2013,50.0,88.57431641,124.0,67,9,36,24
150,karnataka,chitradurga,whole year,black pepper,2013,8.0,76.81102637,20.0,67,9,36,24
151,karnataka,dharwad,whole year,black pepper,1999,4.0,57.44353491,10.0,72,12,36,23
152,karnataka,dharwad,whole year,black pepper,2004,3.0,84.27704458,7.0,69,14,36,23
153,karnataka,dharwad,whole year,black pepper,2005,1.0,96.60442038,2.0,72,13,36,23
154,karnataka,dharwad,whole year,black pepper,2008,9.0,96.25103503,38.0,69,7,36,23
155,karnataka,gulbarga,whole year,black pepper,2001,1.0,84.99365302,2.0,70,13,35,23
156,karnataka,gulbarga,whole year,black pepper,2002,1.0,90.53430442,2.0,67,12,35,24
157,karnataka,hassan,kharif,black pepper,1997,198.0,67.59327537,21.0,71,14,35,23
158,karnataka,hassan,whole year,black pepper,1998,211.0,148.51272519999998,232.0,71,15,37,24
159,karnataka,hassan,whole year,black pepper,1999,361.0,148.1055604,397.0,72,12,36,23
160,karnataka,hassan,whole year,black pepper,2000,414.0,62.50454143,455.0,71,12,36,23
161,karnataka,hassan,whole year,black pepper,2001,802.0,93.82040154,881.0,70,13,35,23
162,karnataka,hassan,whole year,black pepper,2002,1293.0,116.45208629999999,1421.0,67,12,35,24
163,karnataka,hassan,whole year,black pepper,2003,1432.0,139.1921739,1574.0,68,13,37,24
164,karnataka,hassan,whole year,black pepper,2004,1648.0,165.6965978,1811.0,69,14,36,23
165,karnataka,hassan,whole year,black pepper,2005,2689.0,161.4442165,2955.0,72,13,36,23
166,karnataka,hassan,whole year,black pepper,2006,2752.0,199.3693514,3024.0,66,11,36,24
167,karnataka,hassan,whole year,black pepper,2007,2784.0,143.2911959,10280.0,66,12,38,24
168,karnataka,hassan,whole year,black pepper,2008,2794.0,149.08776630000003,10732.0,69,7,36,23
169,karnataka,hassan,whole year,black pepper,2009,3049.0,123.24564720000001,11712.0,68,9,36,23
170,karnataka,hassan,whole year,black pepper,2010,3460.0,84.04193497,1233.1,73,10,36,23
171,karnataka,hassan,whole year,black pepper,2011,3574.0,62.53399458,1040.2,69,8,37,23
172,karnataka,hassan,whole year,black pepper,2012,4165.0,146.95297649999998,12123.0,65,8,36,23
173,karnataka,hassan,whole year,black pepper,2013,4730.0,194.3560512,7445.0,67,9,36,24
174,karnataka,kodagu,kharif,black pepper,1997,1385.0,229.6692543,393.0,71,14,35,23
175,karnataka,kodagu,whole year,black pepper,1998,1580.0,154.3570424,4489.0,71,15,37,24
176,karnataka,kodagu,whole year,black pepper,1999,3547.0,69.05059179,10078.0,72,12,36,23
177,karnataka,kodagu,whole year,black pepper,2000,3752.0,61.32396598,10661.0,71,12,36,23
178,karnataka,kodagu,whole year,black pepper,2001,4112.0,288.2656667,11683.0,70,13,35,23
179,karnataka,kodagu,whole year,black pepper,2002,4167.0,197.0748021,11840.0,67,12,35,24
180,karnataka,kodagu,whole year,black pepper,2003,4210.0,218.30756680000002,11962.0,68,13,37,24
181,karnataka,kodagu,whole year,black pepper,2004,5403.0,189.2369639,15352.0,69,14,36,23
182,karnataka,kodagu,whole year,black pepper,2005,6733.0,289.641997,19130.0,72,13,36,23
183,karnataka,kodagu,whole year,black pepper,2006,5464.0,236.5851664,15525.0,66,11,36,24
184,karnataka,kodagu,whole year,black pepper,2007,7945.0,180.14018049999999,24855.0,66,12,38,24
185,karnataka,kodagu,whole year,black pepper,2008,8880.0,255.1391817,39385.0,69,7,36,23
186,karnataka,kodagu,whole year,black pepper,2009,9409.0,294.5814318,35210.0,68,9,36,23
187,karnataka,kodagu,whole year,black pepper,2010,10321.0,243.977286,6038.7,73,10,36,23
188,karnataka,kodagu,whole year,black pepper,2011,10643.0,249.92219049999997,2497.2,69,8,37,23
189,karnataka,kodagu,whole year,black pepper,2012,10797.0,234.4298492,25333.0,65,8,36,23
190,karnataka,kodagu,whole year,black pepper,2013,11002.0,279.5833208,25814.0,67,9,36,24
191,karnataka,mandya,whole year,black pepper,1998,3.0,271.3759434,7.0,71,15,37,24
192,karnataka,mandya,whole year,black pepper,1999,3.0,327.93174530000005,7.0,72,12,36,23
193,karnataka,mandya,whole year,black pepper,2000,4.0,231.2762288,10.0,71,12,36,23
194,karnataka,mandya,whole year,black pepper,2001,4.0,243.68326910000002,10.0,70,13,35,23
195,karnataka,mandya,whole year,black pepper,2002,2.0,204.72785580000001,5.0,67,12,35,24
196,karnataka,mandya,whole year,black pepper,2003,2.0,117.886641,5.0,68,13,37,24
197,karnataka,mandya,whole year,black pepper,2004,2.0,272.874,5.0,69,14,36,23
198,karnataka,mandya,whole year,black pepper,2005,2.0,148.65593869999998,5.0,72,13,36,23
199,karnataka,mysore,kharif,black pepper,1997,12.0,165.9259949,3.0,71,14,35,23
200,karnataka,mysore,whole year,black pepper,1998,5.0,140.3592496,13.0,71,15,37,24
201,karnataka,mysore,whole year,black pepper,1999,16.0,194.5242708,41.0,72,12,36,23
202,karnataka,mysore,whole year,black pepper,2000,14.0,161.8589392,36.0,71,12,36,23
203,karnataka,mysore,whole year,black pepper,2001,20.0,142.8277449,51.0,70,13,35,23
204,karnataka,mysore,whole year,black pepper,2002,124.0,175.99897869999998,317.0,67,12,35,24
205,karnataka,mysore,whole year,black pepper,2003,25.0,212.2009982,64.0,68,13,37,24
206,karnataka,mysore,whole year,black pepper,2004,28.0,169.4474999,72.0,69,14,36,23
207,karnataka,mysore,whole year,black pepper,2005,25.0,194.4210417,64.0,72,13,36,23
208,karnataka,mysore,whole year,black pepper,2006,26.0,164.45842009999998,66.0,66,11,36,24
209,karnataka,mysore,whole year,black pepper,2007,59.0,188.368785,184.0,66,12,38,24
210,karnataka,mysore,whole year,black pepper,2008,62.0,207.7573154,263.0,69,7,36,23
211,karnataka,mysore,whole year,black pepper,2009,166.0,222.79435959999998,616.0,68,9,36,23
212,karnataka,mysore,whole year,black pepper,2010,63.0,163.13428000000002,38.0,73,10,36,23
213,karnataka,mysore,whole year,black pepper,2011,73.0,161.41969,20.7,69,8,37,23
214,karnataka,mysore,whole year,black pepper,2012,46.0,153.9581408,130.0,65,8,36,23
215,karnataka,mysore,whole year,black pepper,2013,21.0,119.2145278,52.0,67,9,36,24
216,karnataka,shimoga,kharif,black pepper,1997,668.0,148.268544,189.0,71,14,35,23
217,karnataka,shimoga,whole year,black pepper,1998,732.0,129.9622953,2073.0,71,15,37,24
218,karnataka,shimoga,whole year,black pepper,1999,719.0,197.29710790000001,2036.0,72,12,36,23
219,karnataka,shimoga,whole year,black pepper,2000,839.0,166.5529257,2376.0,71,12,36,23
220,karnataka,shimoga,whole year,black pepper,2001,818.0,119.32132709999999,2316.0,70,13,35,23
221,karnataka,shimoga,whole year,black pepper,2002,814.0,171.5301939,2305.0,67,12,35,24
222,karnataka,shimoga,whole year,black pepper,2003,853.0,186.9483495,2415.0,68,13,37,24
223,karnataka,shimoga,whole year,black pepper,2004,814.0,225.9193333,2305.0,69,14,36,23
224,karnataka,shimoga,whole year,black pepper,2005,744.0,183.02466719999998,2107.0,72,13,36,23
225,karnataka,shimoga,whole year,black pepper,2006,705.0,221.2563889,1996.0,66,11,36,24
226,karnataka,shimoga,whole year,black pepper,2007,696.0,187.5551157,2660.0,66,12,38,24
227,karnataka,shimoga,whole year,black pepper,2008,725.0,271.2724263,2433.0,69,7,36,23
228,karnataka,shimoga,whole year,black pepper,2009,700.0,234.1682022,2349.0,68,9,36,23
229,karnataka,shimoga,whole year,black pepper,2010,742.0,185.41268349999999,492.2,73,10,36,23
230,karnataka,shimoga,whole year,black pepper,2011,838.0,245.84680699999998,237.3,69,8,37,23
231,karnataka,shimoga,whole year,black pepper,2012,973.0,281.5678172,2755.0,65,8,36,23
232,karnataka,shimoga,whole year,black pepper,2013,1116.0,231.2492348,2773.0,67,9,36,24
233,karnataka,tumkur,whole year,black pepper,2001,1.0,228.37593619999998,2.0,70,13,35,23
234,karnataka,tumkur,whole year,black pepper,2002,8.0,230.9136614,18.0,67,12,35,24
235,karnataka,tumkur,whole year,black pepper,2003,10.0,269.90913839999996,23.0,68,13,37,24
236,karnataka,tumkur,whole year,black pepper,2004,12.0,262.8820949,27.0,69,14,36,23
237,karnataka,tumkur,whole year,black pepper,2005,12.0,321.5533412,27.0,72,13,36,23
238,karnataka,tumkur,whole year,black pepper,2006,7.0,225.1792784,16.0,66,11,36,24
239,karnataka,tumkur,whole year,black pepper,2007,12.0,231.3770232,37.0,66,12,38,24
240,karnataka,tumkur,whole year,black pepper,2008,7.0,201.53883530000002,30.0,69,7,36,23
241,karnataka,tumkur,whole year,black pepper,2009,16.0,240.1053333,59.0,68,9,36,23
242,karnataka,tumkur,whole year,black pepper,2010,11.0,176.9809323,6.6,73,10,36,23
243,karnataka,tumkur,whole year,black pepper,2011,1.0,169.76432769999997,0.3,69,8,37,23
244,karnataka,tumkur,whole year,black pepper,2012,1.0,148.09686059999999,3.0,65,8,36,23
245,karnataka,tumkur,whole year,black pepper,2013,1.0,229.2244884,2.0,67,9,36,24
246,kerala,idukki,whole year,black pepper,1997,45566.0,177.890374,18706.0,76,15,36,28
247,kerala,idukki,whole year,black pepper,1998,49749.0,143.9733645,29372.0,77,20,35,28
