Month,Year,Rainfall,WPI
4,2012,47.5,135.3
5,2012,31.7,118.7
6,2012,117.8,120.3
7,2012,250.2,120.3
8,2012,262.4,121
9,2012,193.5,114.4
10,2012,58.7,106.7
11,2012,30.7,93.9
12,2012,11.7,84.3
1,2013,11.3,97.7
2,2013,40.1,103.4
3,2013,15.7,114.4
4,2013,30.4,153.5
5,2013,57.8,176.3
6,2013,219.8,174.7
7,2013,310,172.9
8,2013,254.7,168.1
9,2013,152.7,169.3
10,2013,129.4,173.3
11,2013,14,236.5
12,2013,6.7,239.8
1,2014,19.2,225.1
2,2014,27.4,217.6
3,2014,36.1,229.4
4,2014,22.2,219.4
5,2014,72.9,237.9
6,2014,95.4,236.2
7,2014,261.2,263.9
8,2014,237.5,292.3
9,2014,188,298.4
10,2014,60.2,282.8
11,2014,14.4,264.1
12,2014,10.7,260.8
1,2015,17.4,277.3
2,2015,21,291
3,2015,62,271.1
4,2015,69.4,239.9
5,2015,53.8,255.3
6,2015,192.8,315.9
7,2015,242.4,365.2
8,2015,205.2,405.1
9,2015,131.8,398.8
10,2015,42.9,372.6
11,2015,39.4,429.6
12,2015,15,505.3
1,2016,19.3,466.1
2,2016,22.8,422.4
3,2016,27.6,331.7
4,2016,37.4,294.2
5,2016,62.6,349.9
6,2016,168.3,399.2
7,2016,289.1,436
8,2016,256.3,511.9
9,2016,171.9,510.4
10,2016,76.1,495.5
11,2016,29.7,494.1
12,2016,14.9,490.7
1,2017,19,516.5
2,2017,22.6,444.7
3,2017,27.8,330.7
4,2017,37.9,96.1
5,2017,62.4,89.8
6,2017,168.1,86.6
7,2017,289.3,84.7
8,2017,256.2,84
9,2017,171.5,74.9
10,2017,76.3,73.1
11,2017,29.9,72.7
12,2017,15,65.2
1,2018,19.2,61.6
2,2018,20.1,63.5
3,2018,27.1,55
4,2018,40.2,53.2
5,2018,62.7,47.7
6,2018,165,45.9
7,2018,286.3,50.7
8,2018,254.3,50.4
9,2018,171.9,47.1
10,2018,77.2,43.9
11,2018,28.1,41.9
12,2018,14.1,42.5
