Month,Year,Rainfall,WPI
4,2012,47.5,173.3
5,2012,31.7,179.9
6,2012,117.8,179.4
7,2012,250.2,187
8,2012,262.4,203.8
9,2012,193.5,214.8
10,2012,58.7,224.4
11,2012,30.7,227.1
12,2012,11.7,222.6
1,2013,11.3,215.8
2,2013,40.1,209
3,2013,15.7,194.7
4,2013,30.4,188.2
5,2013,57.8,185.6
6,2013,219.8,188
7,2013,310,187.8
8,2013,254.7,184.7
9,2013,152.7,189
10,2013,129.4,189.5
11,2013,14,194.7
12,2013,6.7,195.5
1,2014,19.2,192.7
2,2014,27.4,186.9
3,2014,36.1,188.8
4,2014,22.2,186.4
5,2014,72.9,186.7
6,2014,95.4,188.2
7,2014,261.2,189.9
8,2014,237.5,191.1
9,2014,188,191.4
10,2014,60.2,193.9
11,2014,14.4,194.6
12,2014,10.7,198.3
1,2015,17.4,202.2
2,2015,21,201.8
3,2015,62,202.5
4,2015,69.4,203.9
5,2015,53.8,206
6,2015,192.8,214.7
7,2015,242.4,219.1
8,2015,205.2,220.8
9,2015,131.8,224.2
10,2015,42.9,232.4
11,2015,39.4,244.1
12,2015,15,246.9
1,2016,19.3,243.1
2,2016,22.8,227.5
3,2016,27.6,217.7
4,2016,37.4,215.6
5,2016,62.6,226
6,2016,168.3,230.4
7,2016,289.1,236.9
8,2016,256.3,242.8
9,2016,171.9,241.5
10,2016,76.1,237.7
11,2016,29.7,239.2
12,2016,14.9,234.8
1,2017,19,230.6
2,2017,22.6,226
3,2017,27.8,210.6
4,2017,37.9,130.6
5,2017,62.4,130.7
6,2017,168.1,129.9
7,2017,289.3,131
8,2017,256.2,133.3
9,2017,171.5,134.6
10,2017,76.3,134.2
11,2017,29.9,135.6
12,2017,15,138.2
1,2018,19.2,137.6
2,2018,20.1,136.8
3,2018,27.1,136.1
4,2018,40.2,136.8
5,2018,62.7,136.9
6,2018,165,137.4
7,2018,286.3,140.8
8,2018,254.3,143.8
9,2018,171.9,145.6
10,2018,77.2,145.8
11,2018,28.1,146.6
12,2018,14.1,145.7
