Month,Year,Rainfall,WPI
4,2012,47.5,145.1
5,2012,31.7,143.7
6,2012,117.8,140.9
7,2012,250.2,156.9
8,2012,262.4,173.8
9,2012,193.5,171.4
10,2012,58.7,169.1
11,2012,30.7,166.8
12,2012,11.7,171.8
1,2013,11.3,175.5
2,2013,40.1,185.3
3,2013,15.7,195.6
4,2013,30.4,213.6
5,2013,57.8,225.3
6,2013,219.8,220.1
7,2013,310,218.9
8,2013,254.7,212.5
9,2013,152.7,210.2
10,2013,129.4,212.6
11,2013,14,212
12,2013,6.7,213.1
1,2014,19.2,213.1
2,2014,27.4,215.6
3,2014,36.1,216.3
4,2014,22.2,214.4
5,2014,72.9,214.2
6,2014,95.4,215.8
7,2014,261.2,216.4
8,2014,237.5,219.4
9,2014,188,223.5
10,2014,60.2,225.4
11,2014,14.4,229
12,2014,10.7,235.8
1,2015,17.4,249.4
2,2015,21,255.2
3,2015,62,256.4
4,2015,69.4,256.3
5,2015,53.8,254.3
6,2015,192.8,250.6
7,2015,242.4,248.9
8,2015,205.2,244.3
9,2015,131.8,245.4
10,2015,42.9,246.6
11,2015,39.4,262.4
12,2015,15,267.1
1,2016,19.3,266.6
2,2016,22.8,262.1
3,2016,27.6,262.6
4,2016,37.4,258
5,2016,62.6,254.1
6,2016,168.3,250.4
7,2016,289.1,252.6
8,2016,256.3,249.9
9,2016,171.9,242.5
10,2016,76.1,242
11,2016,29.7,244.4
12,2016,14.9,242.9
1,2017,19,240.9
2,2017,22.6,237.9
3,2017,27.8,237.9
4,2017,37.9,110.1
5,2017,62.4,107
6,2017,168.1,108
7,2017,289.3,110.5
8,2017,256.2,116.8
9,2017,171.5,122.6
10,2017,76.3,129.3
11,2017,29.9,128.7
12,2017,15,128.3
1,2018,19.2,125.5
2,2018,20.1,125
3,2018,27.1,124.7
4,2018,40.2,122.4
5,2018,62.7,124.6
6,2018,165,124.2
7,2018,286.3,124.2
8,2018,254.3,122.5
9,2018,171.9,119.1
10,2018,77.2,115.3
11,2018,28.1,117.4
12,2018,14.1,117.2
