State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature,humidity,soil moisture
andaman and nicobar islands,nicobars,2002,whole year ,black pepper,63,13.5,37,42,55
andaman and nicobar islands,nicobars,2003,whole year ,black pepper,75.5,15.86,37,42,55
andaman and nicobar islands,nicobars,2004,whole year ,black pepper,85,15.86,37,42,55
andaman and nicobar islands,nicobars,2005,whole year ,black pepper,41,0.1,37,42,55
andaman and nicobar islands,nicobars,2006,whole year ,black pepper,22.16,0.68,37,40,46
andaman and nicobar islands,nicobars,2010,rabi       ,black pepper,23,8.5,36,40,54
andaman and nicobar islands,north and middle andaman,2006,whole year ,black pepper,175,191.14,36,41,50
andaman and nicobar islands,north and middle andaman,2010,rabi       ,black pepper,168,13.5,35,50,59
andaman and nicobar islands,south andamans,2002,whole year ,black pepper,487,102.5,34,55,62
andaman and nicobar islands,south andamans,2003,whole year ,black pepper,497,104.37,35,50,59
andaman and nicobar islands,south andamans,2004,whole year ,black pepper,570,104.36,25,55,55
andaman and nicobar islands,south andamans,2005,whole year ,black pepper,656.45,35.95,36,35,45
andaman and nicobar islands,south andamans,2006,whole year ,black pepper,413.1,20.18,36,40,54
andaman and nicobar islands,south andamans,2010,rabi       ,black pepper,409,98,36,35,45
andaman and nicobar islands,nicobars,2002,whole year ,dry chillies,413,28.8,34,55,62
andaman and nicobar islands,nicobars,2003,whole year ,dry chillies,60,102,34,55,62
andaman and nicobar islands,nicobars,2004,whole year ,dry chillies,60,145.2,34,55,62
andaman and nicobar islands,nicobars,2005,whole year ,dry chillies,17,,34,55,62
andaman and nicobar islands,nicobars,2006,whole year ,dry chillies,3,9,36,40,54
andaman and nicobar islands,nicobars,2010,rabi       ,dry chillies,12,25,34,55,62
andaman and nicobar islands,north and middle andaman,2006,whole year ,dry chillies,235.72,824.3,34,45,52
andaman and nicobar islands,north and middle andaman,2010,rabi       ,dry chillies,254,402,36,35,45
andaman and nicobar islands,south andamans,2002,whole year ,dry chillies,239,20.9,36,35,45
andaman and nicobar islands,south andamans,2003,whole year ,dry chillies,340,578,37,40,46
andaman and nicobar islands,south andamans,2004,whole year ,dry chillies,340,822.8,36,41,50
andaman and nicobar islands,south andamans,2005,whole year ,dry chillies,370.7,877.6,37,42,55
andaman and nicobar islands,south andamans,2006,whole year ,dry chillies,124.6,34.7,35,50,59
andaman and nicobar islands,south andamans,2010,rabi       ,dry chillies,128,148,36,41,50
andaman and nicobar islands,nicobars,2000,whole year ,dry ginger,36,100,34,55,62
andaman and nicobar islands,nicobars,2001,whole year ,dry ginger,46,100,34,55,62
andaman and nicobar islands,nicobars,2002,whole year ,dry ginger,47.3,133,35,50,59
andaman and nicobar islands,nicobars,2003,whole year ,dry ginger,102,326.4,35,50,59
andaman and nicobar islands,nicobars,2004,whole year ,dry ginger,118,366,35,50,59
andaman and nicobar islands,nicobars,2006,whole year ,dry ginger,6,21,34,45,52
andaman and nicobar islands,nicobars,2010,rabi       ,dry ginger,7,9.64,35,50,59
andaman and nicobar islands,north and middle andaman,2000,whole year ,dry ginger,352,1120,36,40,54
andaman and nicobar islands,north and middle andaman,2001,whole year ,dry ginger,344,1124,34,45,52
andaman and nicobar islands,north and middle andaman,2006,whole year ,dry ginger,98.66,929,34,55,62
andaman and nicobar islands,north and middle andaman,2010,rabi       ,dry ginger,110,1011.84,37,40,46
andaman and nicobar islands,south andamans,2002,whole year ,dry ginger,352,1145,37,40,46
andaman and nicobar islands,south andamans,2003,whole year ,dry ginger,406,1299.2,36,41,50
andaman and nicobar islands,south andamans,2004,whole year ,dry ginger,410,1462,37,42,55
andaman and nicobar islands,south andamans,2005,whole year ,dry ginger,200,1800,36,40,54
andaman and nicobar islands,south andamans,2006,whole year ,dry ginger,100.9,900,25,55,55
andaman and nicobar islands,south andamans,2010,rabi       ,dry ginger,94,828.52,37,42,55
andaman and nicobar islands,nicobars,2005,whole year ,turmeric,10,70,35,50,59
andaman and nicobar islands,nicobars,2006,whole year ,turmeric,2.5,1.03,36,35,45
andaman and nicobar islands,nicobars,2010,rabi       ,turmeric,2,0.5,36,41,50
andaman and nicobar islands,north and middle andaman,2006,whole year ,turmeric,68,408,36,41,50
andaman and nicobar islands,north and middle andaman,2010,rabi       ,turmeric,68,376.5,35,50,59
andaman and nicobar islands,south andamans,2005,whole year ,turmeric,81.7,572,36,35,45
andaman and nicobar islands,south andamans,2006,whole year ,turmeric,10,60,36,40,54
andaman and nicobar islands,south andamans,2010,rabi       ,turmeric,10,105,36,35,45
andhra pradesh,anantapur,2000,whole year ,coriander,8953,2266,34,55,62
andhra pradesh,anantapur,2001,whole year ,coriander,4741,1119,35,50,59
andhra pradesh,anantapur,2002,whole year ,coriander,3914,481,36,35,45
andhra pradesh,anantapur,2003,whole year ,coriander,5646,610,37,42,55
andhra pradesh,anantapur,2004,whole year ,coriander,2439,290,35,50,59
andhra pradesh,anantapur,2005,whole year ,coriander,2962,900,37,42,55
andhra pradesh,anantapur,2006,whole year ,coriander,1389,385,35,50,59
andhra pradesh,anantapur,2008,whole year ,coriander,3766,1288,36,35,45
andhra pradesh,anantapur,2009,whole year ,coriander,4470,1797,36,40,54
andhra pradesh,anantapur,2010,whole year ,coriander,5323,3604,34,55,62
andhra pradesh,anantapur,2011,whole year ,coriander,2399,1327,25,55,55
andhra pradesh,anantapur,2012,kharif     ,coriander,2,1,36,41,50
andhra pradesh,anantapur,2012,rabi       ,coriander,2606,1631,34,45,52
andhra pradesh,anantapur,2013,rabi       ,coriander,1971,1234,36,40,54
andhra pradesh,anantapur,2013,whole year ,coriander,1971,1234,37,42,55
andhra pradesh,anantapur,2014,kharif     ,coriander,162,84,34,55,62
andhra pradesh,anantapur,2014,rabi       ,coriander,8223,4251,36,40,54
andhra pradesh,chittoor,2000,whole year ,coriander,60,19,36,40,54
andhra pradesh,chittoor,2001,whole year ,coriander,51,18,34,45,52
andhra pradesh,chittoor,2002,whole year ,coriander,86,24,37,40,46
andhra pradesh,chittoor,2003,whole year ,coriander,119,31,35,50,59
andhra pradesh,chittoor,2004,whole year ,coriander,125,30,35,50,59
andhra pradesh,chittoor,2005,whole year ,coriander,110,49,37,42,55
andhra pradesh,chittoor,2006,whole year ,coriander,155,52,37,40,46
andhra pradesh,chittoor,2008,whole year ,coriander,102,42,35,50,59
andhra pradesh,chittoor,2009,whole year ,coriander,125,64,37,42,55
andhra pradesh,chittoor,2010,whole year ,coriander,113,77,25,55,55
andhra pradesh,chittoor,2011,whole year ,coriander,74,43,35,50,59
