Month,Year,Rainfall,WPI
4,2012,47.5,483.6
5,2012,31.7,489.5
6,2012,117.8,497.9
7,2012,250.2,530
8,2012,262.4,533.7
9,2012,193.5,531.1
10,2012,58.7,530.3
11,2012,30.7,530.4
12,2012,11.7,522.9
1,2013,11.3,533.7
2,2013,40.1,538.9
3,2013,15.7,505.8
4,2013,30.4,498.4
5,2013,57.8,494.8
6,2013,219.8,497.2
7,2013,310,521.1
8,2013,254.7,532.1
9,2013,152.7,535.4
10,2013,129.4,547.6
11,2013,14,582.7
12,2013,6.7,596.8
1,2014,19.2,603.5
2,2014,27.4,610.6
3,2014,36.1,618.7
4,2014,22.2,662.4
5,2014,72.9,721.9
6,2014,95.4,726.4
7,2014,261.2,763
8,2014,237.5,770.2
9,2014,188,737.7
10,2014,60.2,759.1
11,2014,14.4,769.5
12,2014,10.7,765.4
1,2015,17.4,747.4
2,2015,21,725.1
3,2015,62,691.8
4,2015,69.4,703.2
5,2015,53.8,703.1
6,2015,192.8,713.6
7,2015,242.4,730.1
8,2015,205.2,730.5
9,2015,131.8,731.7
10,2015,42.9,735.8
11,2015,39.4,762.1
12,2015,15,740.7
1,2016,19.3,710
2,2016,22.8,702.4
3,2016,27.6,735.7
4,2016,37.4,770.9
5,2016,62.6,785
6,2016,168.3,764.3
7,2016,289.1,754.5
8,2016,256.3,750.4
9,2016,171.9,742.1
10,2016,76.1,737
11,2016,29.7,719.1
12,2016,14.9,731.3
1,2017,19,726.7
2,2017,22.6,694.8
3,2017,27.8,694.3
4,2017,37.9,171.2
5,2017,62.4,167.4
6,2017,168.1,165.4
7,2017,289.3,159.5
8,2017,256.2,162.2
9,2017,171.5,157.8
10,2017,76.3,154
11,2017,29.9,150.9
12,2017,15,154.4
1,2018,19.2,154.6
2,2018,20.1,153
3,2018,27.1,145.1
4,2018,40.2,136.3
5,2018,62.7,136.3
6,2018,165,130.7
7,2018,286.3,124.8
8,2018,254.3,135.1
9,2018,171.9,142
10,2018,77.2,139.5
11,2018,28.1,139.8
12,2018,14.1,139.7
