Month,Year,Rainfall,WPI
4,2012,47.5,205.7
5,2012,31.7,204.3
6,2012,117.8,203.7
7,2012,250.2,204.8
8,2012,262.4,213.7
9,2012,193.5,204.7
10,2012,58.7,207.2
11,2012,30.7,213.1
12,2012,11.7,225.4
1,2013,11.3,244.9
2,2013,40.1,248.8
3,2013,15.7,272.1
4,2013,30.4,296
5,2013,57.8,305.4
6,2013,219.8,295.8
7,2013,310,292.9
8,2013,254.7,286.8
9,2013,152.7,289.1
10,2013,129.4,298.9
11,2013,14,311.4
12,2013,6.7,315.9
1,2014,19.2,319.4
2,2014,27.4,360.3
3,2014,36.1,353.2
4,2014,22.2,364.6
5,2014,72.9,370.2
6,2014,95.4,362
7,2014,261.2,400
8,2014,237.5,434.5
9,2014,188,442.3
10,2014,60.2,432.9
11,2014,14.4,430.5
12,2014,10.7,428.1
1,2015,17.4,417
2,2015,21,350.4
3,2015,62,319.7
4,2015,69.4,352.4
5,2015,53.8,387.5
6,2015,192.8,422.7
7,2015,242.4,425.1
8,2015,205.2,421.5
9,2015,131.8,440.4
10,2015,42.9,449.1
11,2015,39.4,436.6
12,2015,15,416.6
1,2016,19.3,379.1
2,2016,22.8,341.2
3,2016,27.6,333.9
4,2016,37.4,348.7
5,2016,62.6,352.2
6,2016,168.3,349.1
7,2016,289.1,354.2
8,2016,256.3,349.8
9,2016,171.9,346.4
10,2016,76.1,346
11,2016,29.7,333.1
12,2016,14.9,328.7
1,2017,19,315.8
2,2017,22.6,307
3,2017,27.8,298.4
4,2017,37.9,146
5,2017,62.4,140
6,2017,168.1,130.1
7,2017,289.3,125.6
8,2017,256.2,124.2
9,2017,171.5,125.1
10,2017,76.3,121.4
11,2017,29.9,120.5
12,2017,15,128.4
1,2018,19.2,131.6
2,2018,20.1,125.8
3,2018,27.1,124
4,2018,40.2,124.5
5,2018,62.7,123.1
6,2018,165,120.3
7,2018,286.3,125
8,2018,254.3,127.9
9,2018,171.9,131.2
10,2018,77.2,133.5
11,2018,28.1,141.8
12,2018,14.1,148.7
