Month,Year,Rainfall,WPI
4,2012,47.5,186.6
5,2012,31.7,186.1
6,2012,117.8,185.5
7,2012,250.2,185.7
8,2012,262.4,189
9,2012,193.5,192.4
10,2012,58.7,198.7
11,2012,30.7,197
12,2012,11.7,202.8
1,2013,11.3,210.9
2,2013,40.1,195.7
3,2013,15.7,186.1
4,2013,30.4,191.5
5,2013,57.8,190
6,2013,219.8,186.2
7,2013,310,190.2
8,2013,254.7,187.9
9,2013,152.7,190.9
10,2013,129.4,190.9
11,2013,14,191
12,2013,6.7,190.8
1,2014,19.2,192.5
2,2014,27.4,189.7
3,2014,36.1,182.3
4,2014,22.2,175.8
5,2014,72.9,175.5
6,2014,95.4,169.1
7,2014,261.2,167.9
8,2014,237.5,168.7
9,2014,188,168.5
10,2014,60.2,169.3
11,2014,14.4,167.3
12,2014,10.7,166.9
1,2015,17.4,170.6
2,2015,21,178.7
3,2015,62,187.5
4,2015,69.4,198.2
5,2015,53.8,204.8
6,2015,192.8,210.9
7,2015,242.4,216.5
8,2015,205.2,211.6
9,2015,131.8,207.8
10,2015,42.9,208.3
11,2015,39.4,203.6
12,2015,15,201.4
1,2016,19.3,198.1
2,2016,22.8,196.1
3,2016,27.6,192.4
4,2016,37.4,209.6
5,2016,62.6,220.6
6,2016,168.3,220.4
7,2016,289.1,225
8,2016,256.3,243.2
9,2016,171.9,241.4
10,2016,76.1,242
11,2016,29.7,242.9
12,2016,14.9,248.2
1,2017,19,248.6
2,2017,22.6,241.6
3,2017,27.8,231.1
4,2017,37.9,131.5
5,2017,62.4,130.8
6,2017,168.1,129.6
7,2017,289.3,132.1
8,2017,256.2,133.1
9,2017,171.5,132.2
10,2017,76.3,133.1
11,2017,29.9,133.5
12,2017,15,140.4
1,2018,19.2,137.2
2,2018,20.1,133.3
3,2018,27.1,120.7
4,2018,40.2,121
5,2018,62.7,119.3
6,2018,165,120.9
7,2018,286.3,130.3
8,2018,254.3,132
9,2018,171.9,131.2
10,2018,77.2,131.5
11,2018,28.1,134.3
12,2018,14.1,127.9
