Month,Year,Rainfall,WPI
4,2012,47.5,74.3
5,2012,31.7,70.3
6,2012,117.8,71.7
7,2012,250.2,80.1
8,2012,262.4,84.8
9,2012,193.5,85
10,2012,58.7,85.4
11,2012,30.7,102.1
12,2012,11.7,111.2
1,2013,11.3,110.9
2,2013,40.1,110.1
3,2013,15.7,109.8
4,2013,30.4,116.3
5,2013,57.8,122.4
6,2013,219.8,120.6
7,2013,310,121
8,2013,254.7,117.8
9,2013,152.7,117
10,2013,129.4,118.1
11,2013,14,126.4
12,2013,6.7,135.5
1,2014,19.2,143.1
2,2014,27.4,152.2
3,2014,36.1,160.6
4,2014,22.2,184.9
5,2014,72.9,204.6
6,2014,95.4,187.2
7,2014,261.2,180.9
8,2014,237.5,179.2
9,2014,188,164.1
10,2014,60.2,154.2
11,2014,14.4,159.4
12,2014,10.7,143.9
1,2015,17.4,140.1
2,2015,21,146.2
3,2015,62,157.8
4,2015,69.4,161.4
5,2015,53.8,156.7
6,2015,192.8,159.7
7,2015,242.4,163.8
8,2015,205.2,159.1
9,2015,131.8,154.7
10,2015,42.9,149.9
11,2015,39.4,151.5
12,2015,15,153.1
1,2016,19.3,147.4
2,2016,22.8,146.7
3,2016,27.6,145.5
4,2016,37.4,138.3
5,2016,62.6,132.4
6,2016,168.3,135.5
7,2016,289.1,135.1
8,2016,256.3,129.7
9,2016,171.9,126.2
10,2016,76.1,123.8
11,2016,29.7,125.5
12,2016,14.9,128.7
1,2017,19,129.3
2,2017,22.6,125.5
3,2017,27.8,120.4
4,2017,37.9,121.1
5,2017,62.4,114.9
6,2017,168.1,111.1
7,2017,289.3,109.2
8,2017,256.2,114
9,2017,171.5,116.7
10,2017,76.3,118.6
11,2017,29.9,116.7
12,2017,15,114.7
1,2018,19.2,117.1
2,2018,20.1,118.5
3,2018,27.1,119.9
4,2018,40.2,124.5
5,2018,62.7,129.7
6,2018,165,129.2
7,2018,286.3,133.4
8,2018,254.3,135.3
9,2018,171.9,151.2
10,2018,77.2,149.3
11,2018,28.1,153.4
12,2018,14.1,154
